"bootstrap","n_events","LR","branching_hat"
1,239,0,2.83698074527923e-08
2,231,0.110490475909216,0.0135546605656135
3,200,0,6.18558384062731e-08
4,209,0.0859089142950324,0.00997862407392211
5,216,8.3470431408731,0.146802404105617
6,231,1.60402414597218,0.0389802136190133
7,209,0.140300734392838,0.00946823546370428
8,186,1.19069277845489,0.101775041026848
9,270,0,1.16476197073645e-08
10,213,0,5.78201950214688e-08
11,212,0,2.27901234132815e-09
12,200,0.329739935344548,0.0479020433393584
13,187,0.0947289989265983,0.0176330161304758
14,216,2.8278535165249,0.0361302530200632
15,194,4.64261831924568,0.0554012954757773
16,195,0,7.11897845454719e-09
17,229,6.0278611171434,0.671451896226627
18,217,0,3.9845743677163e-06
19,234,6.6369500473229e-07,1.4468375551208e-09
20,231,0,1.30853775807662e-07
21,216,4.70037562835716,0.0519051381718344
22,219,0.050634657617934,0.016099835231203
23,217,8.03595522754114,0.159451186733641
24,249,2.83096217955841,0.124028544260121
25,192,3.45578811730843,0.325088283687369
26,230,0.278541679150294,0.0347689601157267
27,207,2.86702908064228,0.107917266454203
28,245,5.3070427738329,0.233714792045207
29,237,1.81305510977836e-05,7.04047850182219e-06
30,201,2.06558429130473,0.999622674870813
31,219,0.456106109193001,0.0559374327849136
32,223,1.61505009709168,0.0237480176776928
33,244,0.212549957215003,0.0345183076228082
34,225,2.45085018547985,0.0507939131697976
35,230,3.37864093143907,0.163511293510828
36,232,8.93499128551412e-06,2.78161836143612e-08
37,219,1.5404223153422,0.0230708550681158
38,222,0.154844257385093,0.0253531991404132
39,213,0.000643188337505762,6.06651427987552e-06
40,233,3.67501440004395,0.170402343382522
41,233,0.430367876738501,0.0425241512668422
42,203,0,1.40584154433185e-07
43,238,1.28960500191545,0.0176230223368871
44,217,0.257573340654687,0.0535235818875946
45,244,3.64831993740171,0.0526976161849804
46,229,6.6523278600302,0.289005658562882
47,226,0,1.55323303071995e-08
48,212,0,1.0561382459271e-09
49,234,2.66218109468508,0.0177784000058222
50,237,1.52841244273299,0.0313117611546185
51,248,0.391011342275533,0.0392364647989614
52,214,0.157140916464812,0.0190462796220681
53,234,0.978119840891168,0.0627420974946213
54,227,0,2.53919044575596e-09
55,228,0.127614538783064,0.0221499939985219
56,230,0,1.03204370554852e-09
57,218,0,6.24227383154658e-08
58,210,0.0716247403404964,0.0300198644674293
59,230,0.00496176497915712,0.00318365799304359
60,249,0.00244497067359362,0.000100630038812456
61,218,2.04751004019778,0.00785309670600256
62,225,0.172865683615328,0.0325872433029358
63,238,0,1.99592146326513e-08
64,238,1.44268616565012,0.091378673817603
65,219,0,7.29128726064484e-09
66,195,0,0.000699196798078491
67,224,1.76862766352315e-05,1.48119116701845e-06
68,215,0.369341558005544,0.0439722445201101
69,219,0.932266100412335,0.010227780375716
70,206,0.0615146455628519,0.0333288082601537
71,215,0.0009236070856673,0.000148213593779243
72,210,2.03985993975664,0.0611086463730373
73,221,7.6321602569372,0.0873086839900132
74,234,0,4.16044835018985e-09
75,209,0.713422289284097,0.0229529534957479
76,241,0,7.55265599872735e-07
77,200,5.49848527953145e-06,1.33314207201642e-06
78,214,0,1.5668111334933e-08
79,220,0.475006559594704,0.0453574892557542
80,202,0.180148027320968,0.0152563393344875
81,238,1.83044766792204,0.135053070899265
82,256,0.648775138051917,0.0375047184168259
83,207,0,2.28712072558386e-06
84,209,1.78620080872179,0.0229064876800463
85,202,2.3722451859968,0.169127213803978
86,233,0,8.41915576111786e-08
87,203,0,1.00353904748484e-07
88,208,2.38090579646195,0.0435314031699327
89,234,0,3.35413093159075e-07
90,228,0,3.42194206565901e-07
91,226,1.53834574963645,0.0502436399089845
92,247,0,3.71597568232588e-07
93,205,2.76344185294874e-05,4.52078614985615e-07
94,194,3.39093107836499,0.0547610403429968
95,224,0.217285507084114,0.0453235793531447
96,220,0.593744952251484,0.0257570640325009
97,199,3.8346102448329,0.165238756077251
98,231,0.144419801579147,0.0345926082692305
99,216,0,2.92856429353568e-09
100,220,0.000118753849847053,0.000192728130164962
