"script","message","metric","value"
"06","Covariate baseline control","best_AIC_model","covariate_poisson"
"07","Covariate-Hawkes positive control","branching_hat","0.306"
"08","Bootstrap LR test","p_value","0"
"09","Omitted deterministic covariate","max_fake_branching","0.888"
"10","Monte Carlo recovery","mean_branching_hat","0.268"
"11","Sample-size effect","sd_branching_at_max_T","0.047"
"12","Power versus branching","power_at_max_branching","1"
"13","False-positive calibration","mean_false_positive_rate","0.042"
"14","OU covariate-Hawkes positive control","branching_hat","0.276"
"15","Omitted OU covariate","max_fake_branching","0.831"
"16","OU bootstrap LR test","corrected_p_value","0.0495"
"17","OU false-positive calibration","mean_false_positive_rate","0.053"
